x,y
-96.318288,-131.689271
-96.251369,-132.649374
-96.184451,-133.609476
-96.117533,-134.569579
-96.050614,-135.529681
-95.983696,-136.489784
-95.916778,-137.449886
-95.797119,-138.405971
-95.624719,-139.358039
-95.399578,-140.306090
-95.121697,-141.250124
-94.791075,-142.190140
-94.460453,-143.130157
-94.129831,-144.070173
-93.799209,-145.010190
-93.468587,-145.950206
-93.137965,-146.890222
-92.787400,-147.821806
-92.416892,-148.744956
-92.026441,-149.659672
-91.616047,-150.565956
-91.185710,-151.463807
-90.755373,-152.361657
-90.325036,-153.259508
-89.894698,-154.157358
-89.464361,-155.055208
-89.034024,-155.953059
-88.603687,-156.850909
-88.147735,-157.748426
-87.666169,-158.645610
-87.158987,-159.542459
-86.626191,-160.438975
-86.067780,-161.335158
-85.509369,-162.231340
-84.950958,-163.127523
-84.392547,-164.023705
-83.759097,-164.809116
-83.050607,-165.483756
-82.267078,-166.047624
-81.408509,-166.500721
-80.474901,-166.843046
-79.541293,-167.185372
-78.607685,-167.527697
-77.674077,-167.870023
-76.740469,-168.212348
-75.806861,-168.554674
-74.873253,-168.896999
-73.933603,-169.207641
-72.987910,-169.486600
-72.036174,-169.733876
-71.078395,-169.949468
-70.114574,-170.133377
-69.150753,-170.317286
-68.186932,-170.501195
-67.223111,-170.685104
-66.259290,-170.869013
-65.295469,-171.052922
-64.331648,-171.236831
-63.365718,-171.385172
-62.397678,-171.497947
-61.427528,-171.575154
-60.455269,-171.616793
-59.480901,-171.622865
-58.511136,-171.626151
-57.545974,-171.626650
-56.585415,-171.624363
-55.629460,-171.619289
-54.678108,-171.611429
-53.729017,-171.604591
-52.782186,-171.598774
-51.837617,-171.593978
-50.895308,-171.590205
-49.955260,-171.587453
-49.015212,-171.584701
-48.075164,-171.581950
-47.113306,-171.580941
-46.129636,-171.581677
-45.124155,-171.584156
-44.096863,-171.588378
-43.047760,-171.594344
-41.998657,-171.600310
-41.020970,-171.759441
-40.114697,-172.071739
-39.279840,-172.537202
-38.516398,-173.155830
-37.824372,-173.927624
-37.132345,-174.699418
-36.529111,-175.519476
-36.014671,-176.387796
-35.589023,-177.304379
-35.252168,-178.269225
-35.004105,-179.282334
-34.756043,-180.295442
-34.641638,-181.285559
-34.660888,-182.252683
-34.813795,-183.196814
-35.100358,-184.117953
-35.520578,-185.016099
-36.052068,-185.737675
-36.694828,-186.282681
-37.448859,-186.651116
-38.314160,-186.842981
-39.290732,-186.858275
-40.267303,-186.873570
-41.243874,-186.888864
-42.220446,-186.904159
-43.197017,-186.919453
-44.173589,-186.934748
-45.154661,-186.908491
-46.140235,-186.840684
-47.130309,-186.731326
-48.124885,-186.580417
-49.123962,-186.387957
-50.123038,-186.195497
-51.122115,-186.003037
-52.121192,-185.810577
-53.120268,-185.618117
-54.119345,-185.425658
-55.118422,-185.233198
-56.117498,-185.040738
-57.116575,-184.848278
-58.115652,-184.655818
-59.114729,-184.463358
-60.113805,-184.270898
-61.112882,-184.078438
-62.111959,-183.885978
-63.111035,-183.693518
-64.110112,-183.501058
-65.109189,-183.308598
-66.100356,-183.100697
-67.083614,-182.877354
-68.058962,-182.638569
-69.026401,-182.384343
-69.985930,-182.114676
-70.945459,-181.845008
-71.904988,-181.575341
-72.864517,-181.305673
-73.824046,-181.036005
-74.783575,-180.766338
-75.743105,-180.496670
-76.702634,-180.227003
-77.662163,-179.957335
-78.621692,-179.687667
-79.581221,-179.418000
-80.540750,-179.148332
-81.500279,-178.878665
-82.459809,-178.608997
-83.419338,-178.339329
-84.378867,-178.069662
-85.338396,-177.799994
-86.297925,-177.530327
-87.257454,-177.260659
-88.216983,-176.990992
-89.176513,-176.721324
-90.136042,-176.451656
-91.095571,-176.181989
-92.055100,-175.912321
-93.014629,-175.642654
-93.974158,-175.372986
-94.933687,-175.103318
